og:51 op: 0 ig: 2 | -0.08 | -0.08 | 2025-10-08 15:50:45
og:51 op: 0 ig: 3 | 0.08 | 0.08 | 2025-10-08 15:50:45
og:51 op: 0 ig: 4 | 0.14 | 0.14 | 2025-10-08 15:50:46
og:51 op: 0 ig: 5 | 0.35 | 0.35 | 2025-10-08 15:50:46
og:51 op: 0 ig: 6 | 0.99 | 0.99 | 2025-10-08 15:50:47
og:51 op: 0 ig: 7 | 0.84 | 0.99 | 2025-10-08 15:50:47
og:51 op: 0 ig: 8 | 1.47 | 1.47 | 2025-10-08 15:50:48
og:51 op: 0 ig: 9 | 1.25 | 1.47 | 2025-10-08 15:50:48
og:51 op: 0 ig:10 | 0.29 | 1.47 | 2025-10-08 15:50:49
og:51 op: 0 ig:11 | 0.49 | 1.47 | 2025-10-08 15:50:49
og:51 op: 0 ig:12 | 1.71 | 1.71 | 2025-10-08 15:50:50
og:51 op: 0 ig:13 | 1.40 | 1.71 | 2025-10-08 15:50:50
og:51 op: 0 ig:14 | 0.48 | 1.71 | 2025-10-08 15:50:51
og:51 op: 0 ig:15 | 1.01 | 1.71 | 2025-10-08 15:50:51
og:51 op: 0 ig:16 | 0.65 | 1.71 | 2025-10-08 15:50:52
og:51 op: 0 ig:17 | 1.56 | 1.71 | 2025-10-08 15:50:52
og:51 op: 0 ig:18 | 1.38 | 1.71 | 2025-10-08 15:50:53
og:51 op: 0 ig:19 | 1.04 | 1.71 | 2025-10-08 15:50:53
og:51 op: 0 ig:20 | 1.12 | 1.71 | 2025-10-08 15:50:54
og:51 op: 0 ig:21 | 2.17 | 2.17 | 2025-10-08 15:50:54
og:51 op: 0 ig:22 | 3.04 | 3.04 | 2025-10-08 15:50:55
og:51 op: 0 ig:23 | 2.34 | 3.04 | 2025-10-08 15:50:55
og:51 op: 0 ig:24 | 2.90 | 3.04 | 2025-10-08 15:50:56
og:51 op: 0 ig:25 | 2.09 | 3.04 | 2025-10-08 15:50:56
og:51 op: 0 ig:26 | 2.13 | 3.04 | 2025-10-08 15:50:57
og:51 op: 0 ig:27 | 2.09 | 3.04 | 2025-10-08 15:50:57
og:51 op: 0 ig:28 | 3.91 | 3.91 | 2025-10-08 15:50:58
og:51 op: 0 ig:29 | 3.20 | 3.91 | 2025-10-08 15:50:58
og:51 op: 0 ig:30 | 2.57 | 3.91 | 2025-10-08 15:50:59
og:51 op: 0 ig:31 | 2.78 | 3.91 | 2025-10-08 15:51:00
og:51 op: 0 ig:32 | 2.62 | 3.91 | 2025-10-08 15:51:00
og:51 op: 0 ig:33 | 4.49 | 4.49 | 2025-10-08 15:51:01
og:51 op: 0 ig:34 | 2.90 | 4.49 | 2025-10-08 15:51:01
og:51 op: 0 ig:35 | 1.82 | 4.49 | 2025-10-08 15:51:02
og:51 op: 0 ig:36 | 2.48 | 4.49 | 2025-10-08 15:51:02
og:51 op: 0 ig:37 | 3.19 | 4.49 | 2025-10-08 15:51:03
og:51 op: 0 ig:38 | 2.64 | 4.49 | 2025-10-08 15:51:03
og:51 op: 0 ig:39 | 2.67 | 4.49 | 2025-10-08 15:51:04
og:51 op: 1 ig: 0 | 0.31 | 0.31 | 2025-10-08 15:51:04
og:51 op: 1 ig: 1 | -0.02 | 0.31 | 2025-10-08 15:51:05
og:51 op: 1 ig: 2 | 0.01 | 0.31 | 2025-10-08 15:51:05
og:51 op: 1 ig: 3 | 1.06 | 1.06 | 2025-10-08 15:51:06
og:51 op: 1 ig: 4 | 0.49 | 1.06 | 2025-10-08 15:51:06
